Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Krishawn Hogan,Marian (IN),WR,74.63,222,9.88,32.13,,4.56,13,36.5,124,4.21,6.74,
2017,Colin Holba,Louisville,LS,76.38,248,9.63,33.63,,5.19,,28,115,,,
2017,Mack Hollins,North Carolina,WR,75.75,221,9.75,33.25,,4.53,,,,,,
2017,Elijah Hood,North Carolina,RB,71.75,232,9.38,30.38,,,18,,,4.34,,
2017,Malik Hooker,Ohio State,FS,73.38,206,10.75,32.25,17,,,,,,,
2017,Bug Howard,North Carolina,WR,75.63,221,10.38,33.13,,4.58,,37.5,119,4.14,6.95,
2017,O.J. Howard,Alabama,TE,77.63,251,10,33.75,27,4.51,22,30,121,4.16,6.85,12.38
2017,Marlon Humphrey,Alabama,CB,72.25,197,8.75,32.25,20,4.41,10,,125,4.28,6.75,
2017,Hayden Hunt,Colorado State,P,71.75,212,9.25,29.88,,,,,,,,
2017,Kareem Hunt,Toledo,RB,70.5,216,9.63,31.38,,4.62,18,36.5,119,,,
2017,Danny Isidora,Miami (FL),OG,75.25,306,9.88,33,,5.03,26,29,94,4.9,8.13,
2017,Adoree Jackson,Southern California,CB,69.75,186,9.25,31.38,,4.42,,36,122,,,
2017,Eddie Jackson,Alabama,FS,72,201,9.25,32.25,,,10,,,4.2,,11.5
2017,Blake Jarwin,Oklahoma State,TE,77,248,,,,,,,,4.33,,12.06
2017,Lorenzo Jerome,St. Francis (PA),SS,70.5,204,8.63,30.63,,4.7,11,,,4.68,7.63,11.57
2017,Dorian Johnson,Pittsburgh,OG,76.63,300,10.88,35.25,24,5.27,21,30,114,5.09,8.39,
2017,Jadar Johnson,Clemson,FS,72.5,206,9.25,32,,4.6,19,33,119,4.2,6.9,
2017,Jaleel Johnson,Iowa,DT,74.88,316,9.63,33.25,,5.38,19,28,100,4.75,7.64,
2017,John Johnson,Boston College,FS,72.63,208,9.88,32,,4.61,14,37,119,4.18,6.72,
2017,Roderick Johnson,Florida State,OT,78.63,298,10.75,36,23,,,,,5.17,,
2017,Cameron Johnston,Ohio State,P,71.25,194,9,31,,4.92,,,,,,
2017,Aaron Jones,Texas-El Paso,RB,69.13,208,9.5,32.5,,4.56,16,37.5,127,4.2,6.82,
2017,D.J. Jones,Mississippi,DT,72.63,319,10.25,32.5,,5.04,25,28.5,108,4.66,7.73,
2017,Jarron Jones,Notre Dame,DT,77.63,316,10.5,35.5,,5.33,22,20.5,,4.53,,
2017,Josh Jones,North Carolina State,FS,73.25,220,9.38,32,17,4.41,20,37.5,132,4.27,,
2017,Nazair Jones,North Carolina,DT,76.63,304,10.88,34.63,,5.11,,24.5,101,,7.93,
2017,Sidney Jones,Washington,CB,71.75,186,9.38,31.5,,4.47,,33.5,123,4.28,7.02,
2017,Zay Jones,East Carolina (NC),WR,73.88,201,9,32.5,,4.45,15,36.5,133,4.01,6.79,
2017,Brad Kaaya,Miami (FL),QB,75.75,214,9.75,32,34,,,,,,,
2017,Kyle Kalis,Michigan,OG,76,308,10.25,32.88,,,,,,4.62,,
2017,Alvin Kamara,Tennessee,RB,69.75,214,9.25,32.75,24,4.56,15,39.5,131,4.56,,11.78
2017,Damontae Kazee,San Diego State,CB,70.25,184,8.63,30.88,,4.54,11,34,124,,,
2017,Chad Kelly,Mississippi,QB,74,224,,,22,,,,,4.08,,
2017,Desmond King,Iowa,CB,70.25,201,9.63,31.13,,,14,34,117,4.18,6.67,12.06
2017,Kevin King,Washington,CB,75.25,200,9.5,32,,4.43,11,39.5,,3.89,6.56,
2017,George Kittle,Iowa,TE,75.75,247,9.25,33.13,,4.52,18,35,132,4.59,,12.41
2017,DeShone Kizer,Notre Dame,QB,76.13,233,9.88,33.13,28,4.83,,30.5,107,4.53,7.4,
2017,Tanoh Kpassagnon,Villanova,DE,78.88,289,10.63,35.63,,4.83,23,30,128,4.69,7.46,
2017,Cooper Kupp,Eastern Washington,WR,73.75,204,9.5,31.5,37,4.62,,31,116,4.08,6.75,
2017,Forrest Lamp,Western Kentucky,OG,75.75,309,10.63,32.25,25,5,34,27.5,111,4.62,7.55,
2017,Ashton Lampkin,Oklahoma State,CB,72,189,9.38,31,,4.52,19,34.5,120,4.21,,11.19
2017,Jerome Lane,Akron,WR,74.13,226,9.75,31.5,,4.6,16,35,125,4.12,6.87,
2017,Harvey Langi,Brigham Young,DE,73.63,251,9.13,32.88,,,23,33,118,,7,
2017,Brendan Langley,Lamar (TX),CB,72.25,201,9.5,32,,4.43,22,35.5,123,4.21,7.06,
2017,Marshon Lattimore,Ohio State,CB,72,193,8.88,31.25,23,4.36,,38.5,132,4.12,,11.45
2017,Carl Lawson,Auburn,DE,73.63,261,10.38,31.5,,4.67,35,33,114,4.62,7.46,
2017,Javarius Leamon,South Carolina State,OL,78.75,332,9.63,35.25,,,22,23.5,,,,
2017,Jeremiah Ledbetter,Arkansas,DE,74.88,280,10,34.25,,4.84,29,32.5,113,4.47,7.55,12.14
2017,Cameron Lee,Illinois State,OG,76.63,312,10.88,33.88,,5.44,18,25.5,100,4.75,8.02,
2017,Elijah Lee,Kansas State,LB,75,228,,,,,,,,4.3,,
2017,Marquel Lee,Wake Forest,LB,75.25,240,9.5,32.5,,,25,31,118,,,
2017,Jordan Leggett,Clemson,TE,77,258,10.38,33.5,,,18,33,114,4.33,7.12,12.34
2017,Mitch Leidner,Minnesota,QB,75.38,226,10,33.75,,4.93,,34.5,123,4.25,6.96,
